seed,beta,buffer_frac,ruined,ruin_epoch,basket_pnl,otc_pnl,net_pnl,min_basket,max_basket
29,1.0,0.05,0.0,0,0.9612794237676816,-0.9612794237676825,-8.881784197001252e-16,3.5,3.9614520000717297
30,1.0,0.05,0.0,0,-4.496595636362236,4.496595636362235,-8.881784197001252e-16,3.0503404363637765,3.729033925729086
31,1.0,0.05,0.0,0,8.784022158444245,-8.784022158444245,0.0,3.4098614497618804,4.3784022158444245
32,1.0,0.05,1.0,5,-4.75,5.550493196365531,0.8004931963655313,2.8423762495077556,3.5752843333110174
33,1.0,0.05,1.0,4,-4.75,6.317826543434366,1.5678265434343661,2.7248313142806673,3.5
34,1.0,0.05,1.0,4,-4.75,5.600778962311428,0.8507789623114279,2.491202211698359,3.9076791600295335
35,1.0,0.05,1.0,2,-4.75,11.642357479587675,6.892357479587675,2.205343073495293,3.5
36,1.0,0.05,1.0,2,-4.75,10.031777386917886,5.281777386917886,2.4968222613082114,3.5
37,1.0,0.05,0.0,0,0.6728033962797717,-0.6728033962797708,8.881784197001252e-16,3.4177041455619928,3.758960148964407
38,1.0,0.05,1.0,1,-4.75,-15.495473874679071,-20.24547387467907,2.6520198633468732,5.049547387467907
39,1.0,0.05,0.0,0,1.352060723230446,-1.352060723230446,0.0,3.1787516423927653,3.8656814072120405
40,1.0,0.05,0.0,0,-0.010337828443809371,0.010337828443809371,0.0,3.220024425407634,3.568038118807115
41,1.0,0.05,0.0,0,9.679424809061231,-9.679424809061228,3.552713678800501e-15,3.5,4.838433897621804
42,1.0,0.05,0.0,0,2.34482145721714,-2.344821457217141,-8.881784197001252e-16,3.1685086360403045,3.8066137685164056
43,1.0,0.05,1.0,4,-4.75,2.6547808277272544,-2.0952191722727456,2.6868733733716312,3.5
44,1.0,0.05,1.0,4,-4.75,7.171492299861351,2.4214922998613506,2.782850770013865,3.5457208573444676
45,1.0,0.05,0.0,0,6.836266744723993,-6.836266744723991,1.7763568394002505e-15,3.5,4.219508005604749
46,1.0,0.05,0.0,0,-3.389551650082744,3.389551650082745,8.881784197001252e-16,3.033082335053586,3.5792668467401496
47,1.0,0.05,1.0,2,-4.75,0.2184924097227059,-4.531507590277294,2.786916590680466,3.589829704743139
48,1.0,0.05,0.0,0,2.048322034136163,-2.048322034136163,0.0,3.407872389286659,3.87383472746764
49,1.0,0.05,0.0,0,5.897373154176236,-5.897373154176231,5.329070518200751e-15,3.5,4.746217236127544
50,1.0,0.05,1.0,2,-4.75,4.1326606041986125,-0.6173393958013875,2.4206412871296226,3.5
51,1.0,0.05,0.0,0,11.74231322877737,-11.742313228777368,1.7763568394002505e-15,3.3766746250459345,4.674231322877737
52,1.0,0.05,0.0,0,6.932797459575575,-6.932797459575575,0.0,3.5,4.1932797459575575
53,1.0,0.05,0.0,0,9.985677225946944,-9.985677225946947,-3.552713678800501e-15,3.5,4.802562776696264
54,1.0,0.05,0.0,0,9.163529807993768,-9.163529807993767,1.7763568394002505e-15,3.4400050156872664,4.416352980799377
55,1.0,0.05,0.0,0,4.204361481706702,-4.2043614817067,1.7763568394002505e-15,3.0290049307814053,4.355799108579073
56,1.0,0.05,0.0,0,1.381626539300246,-1.381626539300247,-8.881784197001252e-16,3.410785634114513,4.443553413630401
57,1.0,0.05,0.0,0,-1.3739294689227108,1.37392946892271,-8.881784197001252e-16,3.0384260318336236,3.5
58,1.0,0.05,0.0,0,-3.053381971804505,3.053381971804505,0.0,3.1946618028195495,4.143516016604483
59,1.0,0.05,0.0,0,-4.275137428590665,4.275137428590665,0.0,3.0724862571409335,3.923557659213421
60,1.0,0.05,1.0,2,-4.75,17.668328306363673,12.918328306363673,1.7331671693636328,3.5
61,1.0,0.05,0.0,0,-5.9770377238528685,5.977037723852869,8.881784197001252e-16,2.902296227614713,3.755850382576742
62,1.0,0.05,0.0,0,6.665532712523088,-6.66553271252309,-1.7763568394002505e-15,3.4705421469115234,4.166553271252309
63,1.0,0.05,0.0,0,-3.376506562179271,3.376506562179271,0.0,3.162349343782073,3.8351302517114725
64,1.0,0.05,1.0,4,-4.75,7.745765559932836,2.9957655599328357,2.5511387394087595,3.5
65,1.0,0.05,0.0,0,6.009154698717225,-6.009154698717225,0.0,3.5,4.255863318306659
66,1.0,0.05,0.0,0,1.8585931508294848,-1.858593150829484,8.881784197001252e-16,3.1184031938449577,4.369442939088055
67,1.0,0.05,1.0,3,-4.75,2.0221427858355945,-2.7278572141644055,2.9304272233055295,3.5969884470188545
68,1.0,0.05,1.0,5,-4.75,2.431879819543461,-2.318120180456539,2.769268707954388,3.5
69,1.0,0.05,0.0,0,10.689524918214719,-10.689524918214719,0.0,3.5,4.958170858914164
70,1.0,0.05,0.0,0,-0.6673233318522804,0.6673233318522831,2.6645352591003757e-15,3.327068486135788,3.896333246665612
71,1.0,0.05,0.0,0,-0.8718194492488287,0.8718194492488296,8.881784197001252e-16,3.402709583384689,3.748412077984006
72,1.0,0.05,0.0,0,3.767014417647392,-3.767014417647392,0.0,3.468610839733662,3.946344960048494
73,1.0,0.05,0.0,0,5.576036214842883,-5.576036214842883,0.0,3.5,4.767446421064265
74,1.0,0.05,0.0,0,-2.27773997490997,2.277739974909969,-8.881784197001252e-16,3.12281440525627,3.5
75,1.0,0.05,0.0,0,6.114515941987932,-6.11451594198793,1.7763568394002505e-15,3.4718048540547573,4.111451594198793
76,1.0,0.05,0.0,0,0.38111274973094567,-0.38111274973094744,-1.7763568394002505e-15,3.3284333839611073,4.212097416809622
