seed,liquidity,spot,hedged_qty,unhedged_rev,hedged_rev
82,0.5,5.1694327785892495,50.0,516.943277858925,427.56351672171115
83,0.5,2.6986805503124818,50.0,269.86805503124816,304.02590530786875
84,0.5,3.8296099929682357,50.0,382.96099929682356,360.5723774406561
85,0.5,1.999231723470852,50.0,199.9231723470852,269.05346396579756
86,0.5,4.677496208089153,50.0,467.74962080891527,402.9666881967143
87,0.5,2.4418671412486086,50.0,244.18671412486086,291.18523485467676
88,0.5,2.1017345258429305,50.0,210.17345258429305,274.17860408440356
89,0.5,2.9825032613817397,50.0,298.250326138174,318.21704086134065
90,0.5,4.23237359180038,50.0,423.237359180038,380.7105573822584
91,0.5,3.642837709673359,50.0,364.2837709673359,351.2337632759182
92,0.5,3.1354194735378487,50.0,313.54194735378485,325.86285146913076
93,0.5,2.6986805503124818,50.0,269.86805503124816,304.02590530786875
94,0.5,3.8296099929682366,50.0,382.9609992968237,360.5723774406562
95,0.5,3.2961758675448705,50.0,329.61758675448704,333.9006711695028
96,0.5,2.837044860895655,50.0,283.7044860895655,310.9441208370369
97,0.5,2.4418671412486086,50.0,244.18671412486086,291.18523485467676
98,0.5,3.465174418122088,50.0,346.5174418122088,342.35059869835555
99,0.5,2.9825032613817397,50.0,298.250326138174,318.21704086134065
0,1.0,2.5670643467850125,100.0,256.70643467850124,338.18375558449435
1,1.0,3.642837709673359,100.0,364.2837709673359,338.1837555845005
2,1.0,3.1354194735378487,100.0,313.54194735378485,338.1837555845203
3,1.0,4.449372026124917,100.0,444.93720261249166,338.1837555844983
4,1.0,2.322775875477118,100.0,232.2775875477118,338.1837555845149
5,1.0,5.4344752647896755,100.0,543.4475264789676,338.18375558451453
6,1.0,4.677496208089153,100.0,467.74962080891527,338.18375558448423
7,1.0,6.637683077567331,100.0,663.7683077567331,338.1837555845109
8,1.0,3.465174418122088,100.0,346.5174418122088,338.1837555845023
9,1.0,2.9825032613817397,100.0,298.250326138174,338.18375558449276
10,1.0,4.23237359180038,100.0,423.237359180038,338.1837555845079
11,1.0,3.642837709673359,100.0,364.2837709673359,338.1837555845005
12,1.0,3.1354194735378482,100.0,313.54194735378485,338.1837555845203
