seed,hedge_ratio,spot,unhedged_cost,net_cost,long_pnl
94,0.25,3.8296099929682366,382.9609992968237,377.16323765998567,5.797761636838004
95,0.25,3.2961758675448705,329.61758675448704,337.15567825323245,-7.538091498745416
96,0.25,2.837044860895655,283.7044860895655,302.72085275454145,-19.016366664975976
97,0.25,2.4418671412486086,244.18671412486086,273.0825237810136,-28.895809656152778
98,0.25,3.465174418122088,346.5174418122088,349.83056954652426,-3.313127734315458
99,0.25,2.9825032613817397,298.250326138174,313.6302327909985,-15.379906652824502
0,0.5,2.5670643467850125,256.70643467850124,308.2381937139856,-51.531759035484356
1,0.5,3.642837709673359,364.2837709673359,362.02686185840327,2.256909108932632
2,0.5,3.1354194735378487,313.54194735378485,336.65595005162766,-23.114002697842807
3,0.5,4.449372026124917,444.93720261249166,402.35357768098095,42.58362493151071
4,0.5,2.322775875477118,232.2775875477118,296.02377014859115,-63.746182600879365
5,0.5,5.4344752647896755,543.4475264789676,451.60873961421885,91.83878686474873
6,0.5,4.677496208089153,467.74962080891527,413.759786779193,53.98983402972226
7,0.5,6.637683077567331,663.7683077567331,511.7691302531016,151.99917750363147
8,0.5,3.465174418122088,346.5174418122088,353.1436972808397,-6.626255468630916
9,0.5,2.9825032613817397,298.250326138174,329.0101394438221,-30.759813305648095
10,0.5,4.23237359180038,423.237359180038,391.5036559647544,31.73370321528364
11,0.5,3.642837709673359,364.2837709673359,362.02686185840327,2.256909108932632
12,0.5,3.1354194735378482,313.54194735378485,336.65595005162766,-23.114002697842807
13,0.5,2.6986805503124818,269.86805503124816,314.8190038903593,-44.95094885911112
14,0.5,3.8296099929682366,382.9609992968237,371.36547602314675,11.595523273676918
15,0.5,3.2961758675448705,329.61758675448704,344.6937697519788,-15.076182997491742
16,0.5,2.837044860895655,283.7044860895655,321.73721941951834,-38.03273332995286
17,0.5,4.0259582960002955,402.59582960002956,381.18289117475035,21.412938425279208
18,0.5,3.465174418122088,346.5174418122088,353.1436972808397,-6.626255468630916
19,0.5,4.917316566972579,491.73165669725785,425.7508047233643,65.98085197389355
20,0.5,4.23237359180038,423.237359180038,391.5036559647544,31.73370321528364
21,0.5,3.642837709673359,364.2837709673359,362.02686185840327,2.256909108932632
22,0.5,3.1354194735378487,313.54194735378485,336.65595005162766,-23.114002697842807
23,0.5,4.449372026124917,444.93720261249166,402.35357768098095,42.58362493151071
24,0.5,3.8296099929682366,382.9609992968237,371.36547602314675,11.595523273676918
25,0.5,3.2961758675448705,329.61758675448704,344.6937697519788,-15.076182997491742
26,0.5,2.837044860895655,283.7044860895655,321.73721941951834,-38.03273332995286
27,0.5,4.0259582960002955,402.59582960002956,381.18289117475035,21.412938425279208
28,0.5,3.465174418122088,346.5174418122088,353.1436972808397,-6.626255468630916
29,0.5,4.917316566972579,491.73165669725785,425.7508047233643,65.98085197389355
30,0.5,4.23237359180038,423.237359180038,391.5036559647544,31.73370321528364
31,0.5,6.006024017647005,600.6024017647005,480.18617725708555,120.41622450761497
32,0.5,5.169432778589249,516.9432778589248,438.35661530419793,78.5866625547269
33,0.5,4.449372026124917,444.93720261249166,402.35357768098095,42.58362493151071
34,0.5,3.8296099929682366,382.9609992968237,371.36547602314675,11.595523273676918
35,0.5,5.4344752647896755,543.4475264789676,451.60873961421885,91.83878686474873
36,0.5,2.837044860895655,283.7044860895655,321.73721941951834,-38.03273332995286
37,0.5,4.0259582960002955,402.59582960002956,381.18289117475035,21.412938425279208
38,0.5,2.1017345258429305,210.17345258429305,284.97170266688136,-74.79825008258831
39,0.5,2.9825032613817397,298.250326138174,329.0101394438221,-30.759813305648095
40,0.5,2.5670643467850125,256.70643467850124,308.2381937139856,-51.531759035484356
41,0.5,6.006024017647005,600.6024017647005,480.18617725708555,120.41622450761497
42,0.5,3.1354194735378487,313.54194735378485,336.65595005162766,-23.114002697842807
43,0.5,4.449372026124917,444.93720261249166,402.35357768098095,42.58362493151071
44,0.5,3.8296099929682357,382.96099929682356,371.36547602314664,11.595523273676918
45,0.5,5.4344752647896755,543.4475264789676,451.60873961421885,91.83878686474873
46,0.5,2.837044860895655,283.7044860895655,321.73721941951834,-38.03273332995286
47,0.5,4.025958296000295,402.59582960002945,381.18289117475024,21.412938425279208
48,0.5,3.465174418122088,346.5174418122088,353.1436972808397,-6.626255468630916
49,0.5,4.917316566972579,491.73165669725785,425.7508047233643,65.98085197389355
50,0.5,2.5670643467850125,256.70643467850124,308.2381937139856,-51.531759035484356
51,0.5,3.642837709673359,364.2837709673359,362.02686185840327,2.256909108932632
52,0.5,3.1354194735378487,313.54194735378485,336.65595005162766,-23.114002697842807
53,0.5,4.449372026124917,444.93720261249166,402.35357768098095,42.58362493151071
54,0.5,3.8296099929682366,382.9609992968237,371.36547602314675,11.595523273676918
55,0.5,3.2961758675448705,329.61758675448704,344.6937697519788,-15.076182997491742
56,0.5,4.677496208089153,467.74962080891527,413.759786779193,53.98983402972226
57,0.5,4.025958296000295,402.59582960002945,381.18289117475024,21.412938425279208
58,0.5,3.465174418122088,346.5174418122088,353.1436972808397,-6.626255468630916
59,0.5,2.9825032613817397,298.250326138174,329.0101394438221,-30.759813305648095
60,0.5,2.5670643467850125,256.70643467850124,308.2381937139856,-51.531759035484356
61,0.5,2.209492759274241,220.94927592742408,290.35961433844716,-69.41033841102308
62,0.5,3.1354194735378487,313.54194735378485,336.65595005162766,-23.114002697842807
63,0.5,1.6368324945346824,163.68324945346825,261.72660110146893,-98.04335164800068
64,0.5,2.322775875477118,232.2775875477118,296.02377014859115,-63.746182600879365
65,0.5,3.2961758675448705,329.61758675448704,344.6937697519788,-15.076182997491742
66,0.5,4.677496208089153,467.74962080891527,413.759786779193,53.98983402972226
67,0.5,2.4418671412486086,244.18671412486086,301.9783334371655,-57.79161931230465
68,0.5,3.465174418122088,346.5174418122088,353.1436972808397,-6.626255468630916
69,0.5,2.9825032613817397,298.250326138174,329.0101394438221,-30.759813305648095
70,0.5,4.23237359180038,423.237359180038,391.5036559647544,31.73370321528364
71,0.5,2.209492759274241,220.94927592742408,290.35961433844716,-69.41033841102308
72,0.5,3.1354194735378487,313.54194735378485,336.65595005162766,-23.114002697842807
73,0.5,2.6986805503124818,269.86805503124816,314.8190038903593,-44.95094885911112
74,0.5,3.8296099929682366,382.9609992968237,371.36547602314675,11.595523273676918
75,0.5,1.999231723470852,199.9231723470852,279.8465625482781,-79.92339020119289
76,0.5,2.837044860895655,283.7044860895655,321.73721941951834,-38.03273332995286
77,0.5,4.025958296000295,402.59582960002945,381.18289117475024,21.412938425279208
78,0.5,5.713106769843826,571.3106769843826,465.54031486692656,105.77036211745599
79,0.5,2.9825032613817397,298.250326138174,329.0101394438221,-30.759813305648095
80,0.5,4.23237359180038,423.237359180038,391.5036559647544,31.73370321528364
81,0.5,3.642837709673359,364.2837709673359,362.02686185840327,2.256909108932632
82,0.5,5.1694327785892495,516.943277858925,438.35661530419804,78.5866625547269
83,0.5,2.6986805503124818,269.86805503124816,314.8190038903593,-44.95094885911112
84,0.5,3.8296099929682357,382.96099929682356,371.36547602314664,11.595523273676918
85,0.5,1.999231723470852,199.9231723470852,279.8465625482781,-79.92339020119289
86,0.5,4.677496208089153,467.74962080891527,413.759786779193,53.98983402972226
87,0.5,2.4418671412486086,244.18671412486086,301.9783334371655,-57.79161931230465
88,0.5,2.1017345258429305,210.17345258429305,284.97170266688136,-74.79825008258831
89,0.5,2.9825032613817397,298.250326138174,329.0101394438221,-30.759813305648095
90,0.5,4.23237359180038,423.237359180038,391.5036559647544,31.73370321528364
91,0.5,3.642837709673359,364.2837709673359,362.02686185840327,2.256909108932632
92,0.5,3.1354194735378487,313.54194735378485,336.65595005162766,-23.114002697842807
93,0.5,2.6986805503124818,269.86805503124816,314.8190038903593,-44.95094885911112
94,0.5,3.8296099929682366,382.9609992968237,371.36547602314675,11.595523273676918
95,0.5,3.2961758675448705,329.61758675448704,344.6937697519788,-15.076182997491742
96,0.5,2.837044860895655,283.7044860895655,321.73721941951834,-38.03273332995286
97,0.5,2.4418671412486086,244.18671412486086,301.9783334371655,-57.79161931230465
98,0.5,3.465174418122088,346.5174418122088,353.1436972808397,-6.626255468630916
99,0.5,2.9825032613817397,298.250326138174,329.0101394438221,-30.759813305648095
