K,rho_sku,beta,r_i,n,willing_clear_frac_mean,willing_clear_frac_p10,willing_clear_frac_p90,volume_share_median,residual_risk_mean,clearing_spread_pct_mean
12,0.9,0.45,0.2025,100,0.13482073151622376,0.0882247686642204,0.18273558999136352,0.061366129964158966,1.1715680486969111,14.415353773498659
12,0.9,0.63,0.39690000000000003,100,0.16383258320711305,0.10668597002350624,0.2341431702629606,0.07128713477230147,1.263581564957215,13.387652353330353
12,0.9,0.8,0.6400000000000001,100,0.2997534550634828,0.2142192633481652,0.4077804539344923,0.13980750677131093,1.7373339284585987,13.97293921915492
12,0.9,0.95,0.9025,100,0.8354767623921985,0.6864784851898114,1.0,0.41592312734982984,2.514156425482841,10.377656308583429
12,0.9,1.0,1.0,100,1.0,1.0,1.0,0.5017664010299734,0.0,0.0
12,1.0,0.2,0.04000000000000001,100,0.11693205108982581,0.0,0.17217089464879876,0.05953722588454234,1.111955250825129,15.011198460528623
12,1.0,0.45,0.2025,100,0.13482073151622376,0.0882247686642204,0.18273558999136352,0.061366129964158966,1.1715680486969113,14.415353773498659
12,1.0,0.63,0.39690000000000003,100,0.14979072176431243,0.09812448795532232,0.22625583664590818,0.06621592265216042,1.1559410187054169,12.368663645874664
12,1.0,0.8,0.6400000000000001,100,0.27739250993983317,0.20971601037722468,0.37292162615162655,0.12762027282634703,1.6463859085545294,13.610539206080334
12,1.0,0.95,0.9025,100,0.801947657912803,0.672310087514574,1.0,0.39951199353467437,2.5086615630144915,10.792866962662362
12,1.0,1.0,1.0,100,1.0,1.0,1.0,0.5017664010299734,0.0,0.0
