seed,beta,r_i,dealer_pnl,spot_I,spot_S,n_contracts,n_settled
8,0.63,0.39690000000000003,1.8269127771491185,3.465174418122088,3.331517430880903,2,2
9,0.63,0.39690000000000003,-2.0454367317724973,2.9825032613817397,3.4146695530158064,2,2
10,0.63,0.39690000000000003,11.582816332229413,4.23237359180038,2.8392625547830708,2,2
11,0.63,0.39690000000000003,4.69449050782714,3.642837709673359,3.1566875314825587,2,2
12,0.63,0.39690000000000003,0.7179275341331959,3.1354194735378482,3.234670340086483,2,2
13,0.63,0.39690000000000003,-14.387267395388335,2.6986805503124818,4.470044311404384,2,2
14,0.63,0.39690000000000003,5.648319829837419,3.8296099929682366,3.178971137759812,2,2
15,0.63,0.39690000000000003,-1.9335757311200723,3.2961758675448705,3.601097194834901,2,2
16,0.63,0.39690000000000003,13.487938437145203,2.837044860895655,1.7696932438249946,2,2
17,0.63,0.39690000000000003,1.1487415651790798,4.0259582960002955,3.752628395125704,2,2
18,0.63,0.39690000000000003,-0.6418010810157284,3.465174418122088,3.5783888166936677,2,2
19,0.63,0.39690000000000003,-7.486971645615995,4.917316566972579,5.177755426926385,2,2
20,0.63,0.39690000000000003,-3.9672836993122473,4.23237359180038,4.3942725579375015,2,2
21,0.63,0.39690000000000003,-7.0152703209314495,3.642837709673359,4.327663614359226,2,2
22,0.63,0.39690000000000003,1.2180414925096557,3.1354194735378487,3.1846589442519218,2,2
23,0.63,0.39690000000000003,-0.6513013555668294,4.449372026124917,4.199383337179662,2,2
24,0.63,0.39690000000000003,-13.103183273924515,3.8296099929682366,5.054121448145549,2,2
25,0.63,0.39690000000000003,4.963542952900752,3.2961758675448705,2.9113853264259713,2,2
26,0.63,0.39690000000000003,8.39638930244837,2.837044860895655,2.278848157297781,2,2
27,0.63,0.39690000000000003,4.29776763333939,4.0259582960002955,3.437725788310272,2,2
28,0.63,0.39690000000000003,-20.942369648604654,3.465174418122088,5.608445673451467,2,2
29,0.63,0.39690000000000003,-12.174760062247515,4.917316566972579,5.646534268581671,2,2
30,0.63,0.39690000000000003,-5.953788124490529,4.23237359180038,4.5929230004613775,2,2
31,0.63,0.39690000000000003,-5.9571773605421185,6.006024017647005,5.710661692345846,2,2
32,0.63,0.39690000000000003,2.4102803309215233,5.169432778589249,4.346863442593267,2,2
33,0.63,0.39690000000000003,5.9275990400929,4.449372026124917,3.5414932976212294,2,2
34,0.63,0.39690000000000003,5.954596301307902,3.8296099929682366,3.1483434906116656,2,2
35,0.63,0.39690000000000003,3.598955372814089,5.4344752647896755,4.394972704711079,2,2
36,0.63,0.39690000000000003,-4.4630583736579865,2.837044860895655,3.5647929249069623,2,2
37,0.63,0.39690000000000003,10.852369435946457,4.0259582960002955,2.782265608058223,2,2
38,0.63,0.39690000000000003,2.421897948603146,2.1017345258429305,2.4130517815937207,2,2
39,0.63,0.39690000000000003,-19.17545534274541,2.9825032613817397,5.127671414117968,2,2
40,0.63,0.39690000000000003,2.5070436515379697,2.5670643467850125,2.6976949984978695,2,2
41,0.63,0.39690000000000003,-4.603609802899882,6.006024017647005,5.575304936579238,2,2
42,0.63,0.39690000000000003,3.0054810628062114,3.1354194735378487,3.0059149872257525,2,2
43,0.63,0.39690000000000003,-4.655287881847471,4.449372026124917,4.599781989808671,2,2
44,0.63,0.39690000000000003,7.628296681097709,3.8296099929682357,2.9809734526336893,2,2
45,0.63,0.39690000000000003,-9.19221913209185,5.4344752647896755,5.674090155199428,2,2
46,0.63,0.39690000000000003,-1.154737884295173,2.837044860895655,3.2339608759686937,2,2
47,0.63,0.39690000000000003,10.51970536459703,4.025958296000295,2.815532015192113,2,2
48,0.63,0.39690000000000003,10.987686036387458,3.465174418122088,2.415440104958366,2,2
49,0.63,0.39690000000000003,12.651383238495328,4.917316566972579,3.163919938516899,2,2
50,0.63,0.39690000000000003,-6.849926332128234,2.5670643467850125,3.63339199686595,2,2
51,0.63,0.39690000000000003,-11.317692283191718,3.642837709673359,4.757905810585469,2,2
52,0.63,0.39690000000000003,2.858747780439444,3.1354194735378487,3.020588315463653,2,2
53,0.63,0.39690000000000003,-0.751159360515885,4.449372026124917,4.209369137674944,2,2
54,0.63,0.39690000000000003,-14.499188431771472,3.8296099929682366,5.193721963928745,2,2
55,0.63,0.39690000000000003,-5.109425643808208,3.2961758675448705,3.91868218609672,2,2
56,0.63,0.39690000000000003,-0.1549180932343006,4.677496208089153,4.293463245587551,2,2
57,0.63,0.39690000000000003,9.188388402108103,4.025958296000295,2.9486637114361978,2,2
58,0.63,0.39690000000000003,3.2838509056018665,3.465174418122088,3.1858236180350317,2,2
59,0.63,0.39690000000000003,2.2119846754940227,2.9825032613817397,2.9889274122948746,2,2
60,0.63,0.39690000000000003,7.314109721919522,2.5670643467850125,2.2169883914558675,2,2
61,0.63,0.39690000000000003,1.4148441081633791,2.209492759274241,2.581644852703139,2,2
62,0.63,0.39690000000000003,0.4123988638166338,3.1354194735378487,3.2652232071190963,2,2
63,0.63,0.39690000000000003,9.144046858535148,1.6368324945346824,1.4479486108783628,2,2
64,0.63,0.39690000000000003,-2.3015124143566936,2.322775875477118,3.0246488681581947,2,2
65,0.63,0.39690000000000003,-6.210028597153723,3.2961758675448705,4.02874248143266,2,2
66,0.63,0.39690000000000003,10.935800105449744,4.677496208089153,3.184391425715623,2,2
67,0.63,0.39690000000000003,0.05903018265962601,2.4418671412486086,2.863622105901166,2,2
68,0.63,0.39690000000000003,-0.20873943576589227,3.465174418122088,3.5350826521724903,2,2
69,0.63,0.39690000000000003,1.120100946049206,2.9825032613817397,3.09811578523604,2,2
70,0.63,0.39690000000000003,4.996163844829425,4.23237359180038,3.4979278035288672,2,2
71,0.63,0.39690000000000003,-1.103326999116689,2.209492759274241,2.833461963424394,2,2
72,0.63,0.39690000000000003,5.635486846673302,3.1354194735378487,2.742914408838459,2,2
73,0.63,0.39690000000000003,-16.97263097355608,2.6986805503124818,4.728580669230277,2,2
74,0.63,0.39690000000000003,9.88080173661001,3.8296099929682366,2.7557229470857645,2,2
75,0.63,0.39690000000000003,-10.234632686129771,1.999231723470852,3.614128079570183,2,2
76,0.63,0.39690000000000003,4.263174761203118,2.837044860895655,2.6921696114129805,2,2
77,0.63,0.39690000000000003,9.609015565598384,4.025958296000295,2.906600995087073,2,2
78,0.63,0.39690000000000003,5.832573660998605,5.713106769843826,4.347148724064635,2,2
79,0.63,0.39690000000000003,12.625869776005857,2.9825032613817397,1.9475389022493885,2,2
80,0.63,0.39690000000000003,2.469234977499582,4.23237359180038,3.7506206902660684,2,2
81,0.63,0.39690000000000003,-10.669284652802162,3.642837709673359,4.6930650475477895,2,2
82,0.63,0.39690000000000003,-18.085808387841098,5.1694327785892495,6.39647231447559,2,2
83,0.63,0.39690000000000003,-2.639534603105858,2.6986805503124818,3.295271032182156,2,2
84,0.63,0.39690000000000003,1.5332753497641534,3.8296099929682357,3.5904755857764994,2,2
85,0.63,0.39690000000000003,-8.939856396289542,1.999231723470852,3.4846504505924685,2,2
86,0.63,0.39690000000000003,-12.986861420795321,4.677496208089153,5.576657578343333,2,2
87,0.63,0.39690000000000003,-5.226115050143562,2.4418671412486086,3.39213662917766,2,2
88,0.63,0.39690000000000003,7.570633181720041,2.1017345258429305,1.8981782582920754,2,2
89,0.63,0.39690000000000003,1.504811750492081,2.9825032613817397,3.0596447047931816,2,2
90,0.63,0.39690000000000003,-4.606408423394896,4.23237359180038,4.45818503035016,2,2
91,0.63,0.39690000000000003,-6.3632206921465695,3.642837709673359,4.262458651488892,2,2
92,0.63,0.39690000000000003,7.01719015953131,3.1354194735378487,2.6047440775521737,2,2
93,0.63,0.39690000000000003,7.341754243941978,2.6986805503124818,2.2971421474766602,2,2
94,0.63,0.39690000000000003,6.308462185785174,3.8296099929682366,3.1129569021731833,2,2
