seed,beta,reluctance,r_i,volume_share,willing_clear_frac,risk_hedged_frac,net_imbalance,gross_intermediated,clearing_spread_pct,residual_risk,dealer_pnl,spot_I,spot_S
3,0.95,0.5,0.9025,0.8709055887499761,0.9681299350231264,0.9199936529541567,11.005074584135963,17.81408478808296,9.054549479643251,3.406768500915153,3.7434459393279336,4.449372026124917,4.593937507211719
4,0.95,0.5,0.9025,0.9404118419823609,1.0,0.9314983979771295,2.5589223065160622,18.713415712181426,0.4660210303986913,0.7921487349749312,0.37399075294568307,2.322775875477118,2.362980529040131
5,0.95,0.5,0.9025,0.8918318177387853,1.0,0.8862464771725396,3.6159367239873776,17.560202904315965,0.9916456138399293,1.1193617306637906,1.4946035401399742,5.4344752647896755,5.102555341453777
6,0.95,0.5,0.9025,0.8280457807501257,1.0,0.8550242479495419,9.153969817978865,18.571797713697777,6.009099408822608,2.8337341828807663,6.929483269307035,4.677496208089153,4.305124446038493
7,0.95,0.5,0.9025,0.8315356131320305,1.0,0.8122653054737502,5.554967660144155,15.838932678049368,2.594666459614874,1.7196147743933956,2.734708361303178,6.637683077567331,6.259549212699101
8,0.95,0.5,0.9025,0.6049213015210598,1.0,0.6278166218736534,0.5526588329071157,11.922211725583319,0.03411943115216689,0.17108295716728342,0.05523062634889817,3.465174418122088,3.398344981190395
9,0.95,0.5,0.9025,0.6977259596988434,1.0,0.7100053660155412,7.96370886342685,15.710877464566089,5.376190994173027,2.4652729337691706,2.383833927666573,2.9825032613817397,3.095505080586009
10,0.95,0.5,0.9025,0.8034896480053556,1.0,0.7526812202621458,-0.24837839356607083,16.69367615228442,0.0049217553778675704,0.0768888644088396,-0.11271801759755788,4.23237359180038,3.734923186452437
11,0.95,0.5,0.9025,0.899939924985527,1.0,0.9021517598661783,5.8224082193211375,19.39567091248768,2.327795781334202,1.8024045879385633,2.7233338513665704,3.642837709673359,3.4518268244332715
12,0.95,0.5,0.9025,0.8684412418823046,1.0,0.8913781589168193,5.89774952624925,17.49456204638906,2.6479754525877475,1.8257275004093672,1.8368855360005036,3.1354194735378482,3.129667366821028
13,0.95,0.5,0.9025,0.8061588757921957,1.0,0.8108157448182485,6.898764540911175,16.94091191443321,3.741538699225445,2.135605129572306,-1.7103707183035382,2.6986805503124818,3.3221083161966045
14,0.95,0.5,0.9025,0.9604993674893032,1.0,0.9706327067551973,-4.53838597128631,21.827786278619257,1.2567171572438065,1.4049182723632874,-0.043793010948758315,3.8296099929682366,3.590909350500224
15,0.95,0.5,0.9025,0.5580767987602938,1.0,0.5617831019426345,5.409743496884351,11.887119575656488,3.2788465831240114,1.6746586860740629,0.9816638721817994,3.2961758675448705,3.388996399323793
16,0.95,0.5,0.9025,0.6824110147253999,0.9599538551384188,0.7038768515623832,9.704567487684631,13.87413940888449,9.040463477624542,3.004179079322889,9.775497898761927,2.837044860895655,2.332760593996581
17,0.95,0.5,0.9025,0.6871685643833731,1.0,0.6746164985802613,4.524276505201334,13.776439510151993,1.9788171699139179,1.4005504978193222,1.1897385272286247,4.0259582960002955,3.9583572701498975
18,0.95,0.5,0.9025,0.769329355008894,1.0,0.7902667945703147,5.994697716157984,16.400608195872074,2.91822655122652,1.8557391134226875,1.5671891492335879,3.465174418122088,3.4976059246032696
19,0.95,0.5,0.9025,0.668269921971634,1.0,0.632571921535894,7.5766291557342935,13.781148597996093,5.5476752075377895,2.3454472165122096,0.4697473605587832,4.917316566972579,5.152368524613953
20,0.95,0.5,0.9025,0.7602702079571892,1.0,0.7778131201088708,9.8206663046798,15.146228468174359,8.480506401860195,3.04011902590924,3.0546205209821893,4.23237359180038,4.3601546583842685
21,0.95,0.5,0.9025,0.8259702887664484,1.0,0.8479179498307046,8.098209326002715,16.92344674707259,5.16099642938566,2.5069093566538005,0.8580608370232872,3.642837709673359,3.9226476541441917
22,0.95,0.5,0.9025,0.8472602764286146,1.0,0.8433874902771691,1.446792136189765,17.92618467106234,0.15551375001455037,0.4478739184601371,0.1711513984867756,3.1354194735378487,3.1095590083104225
23,0.95,0.5,0.9025,0.7194159273151087,1.0,0.6799888487499565,5.412045574162089,15.024489101763505,2.596375833051455,1.675371324984096,1.2617080354963641,4.449372026124917,4.432975634994566
24,0.95,0.5,0.9025,0.7828315081545022,1.0,0.8194082506018573,1.0972568309091093,16.305902977106378,0.09833680945620495,0.33967057473137746,-0.5203983503565045,3.8296099929682366,4.344861406292544
25,0.95,0.5,0.9025,0.5231087274885494,1.0,0.439669237417272,6.654756387487269,11.420430253159338,5.164475703916547,2.0600691316382855,3.4500449002726645,3.2961758675448705,3.1116801339496836
26,0.95,0.5,0.9025,0.7537018089686977,0.9545370475274483,0.7483781696185855,11.161752340427535,17.095115926291186,9.705928659871027,3.455270202638976,9.737634347878247,2.837044860895655,2.537479325931516
27,0.95,0.5,0.9025,0.730750588018421,1.0,0.6927872135689975,-0.6960535464612944,15.700123902089521,0.04109855970414189,0.21547271478313162,-0.09706570076435968,4.0259582960002955,3.8317426374626566
28,0.95,0.5,0.9025,0.7360549354212063,1.0,0.7218071769967347,9.640407810838328,17.345263666897445,7.1359908878233576,2.984317590476283,-3.6645471214452616,3.465174418122088,4.313842112204138
29,0.95,0.5,0.9025,0.8639689618730876,1.0,0.8752459967756777,11.270933845157685,16.64591062649631,10.163812011415914,3.4890688023988883,0.5694833249742324,4.917316566972579,5.340853026053862
30,0.95,0.5,0.9025,0.8390371309159078,1.0,0.8292887709245806,8.173575689099522,18.89047783278435,4.710051054969771,2.5302400255978217,1.2444074714972064,4.23237359180038,4.440027140443651
31,0.95,0.5,0.9025,0.6693008946415916,1.0,0.6826865178208015,3.4689376707915685,13.579996246303438,1.1801513953872163,1.073856201349729,-0.25430860744097283,6.006024017647005,6.12513131788465
32,0.95,0.5,0.9025,0.7600945901550674,1.0,0.8053623520722039,3.408017469081135,15.752582271557841,0.9819655434233909,1.0549975354979158,0.8867858972111973,5.169432778589249,4.993934641767076
33,0.95,0.5,0.9025,0.8210343282582512,0.8701095839323665,0.8435746218180519,10.793749362875424,16.237059721171125,9.556121248039094,3.341349943163883,8.154829911265118,4.449372026124917,4.168454148336606
