cell_index,cell_label,n_seeds,override_build.wood_cost,override_build.stone_cost,override_build.income_per_house_per_step,total_production_mean,total_production_median,total_production_p10,total_production_p90,gini_coefficient_mean,gini_coefficient_median,gini_coefficient_p10,gini_coefficient_p90,welfare_mean,welfare_median,welfare_p10,welfare_p90,total_tax_revenue_mean,total_tax_revenue_median,total_tax_revenue_p10,total_tax_revenue_p90,total_audits_mean,total_audits_median,total_audits_p10,total_audits_p90,total_catches_mean,total_catches_median,total_catches_p10,total_catches_p90,bunching_intensity_mean,bunching_intensity_median,bunching_intensity_p10,bunching_intensity_p90,enforcement_cost_mean,enforcement_cost_median,enforcement_cost_p10,enforcement_cost_p90
10,wood_cost=6_stone_cost=3_income_per_house_per_step=0.5,20,6,3,0.5,43.25,35.95,15.33,69.95,0.7089915656932185,0.707923551268875,0.647481937359051,0.8012220272724474,2.734789931439105,2.254432878123625,0.7476084459757931,4.640227281372653,1.1687365848454683,2.551233372129351e-08,1.6677150318606995e-12,4.6340230639773585,13.85,14.0,13.0,14.0,0.25,0.0,0.0,1.0,0.5071428571428571,0.5714285714285714,0.35,0.5714285714285714,6.925,7.0,6.5,7.0
11,wood_cost=6_stone_cost=3_income_per_house_per_step=1.0,20,6,3,1.0,61.64,47.3,18.549999999999997,122.89999999999998,0.7457816463572097,0.7517506496511094,0.6856771799628941,0.8244777911164465,4.029966319678538,2.981641879946727,0.9456709956709954,8.41863592426224,4.022300469777628,0.12600008750021663,2.018011339922764e-12,11.42597294951292,13.8,14.0,13.0,14.0,0.25,0.0,0.0,1.0,0.55,0.5714285714285714,0.42857142857142855,0.6428571428571429,6.9,7.0,6.5,7.0
12,wood_cost=6_stone_cost=6_income_per_house_per_step=0.25,20,6,6,0.25,15.63,15.25,11.6,20.58,0.7440607647494938,0.7366824603535189,0.6726808905380334,0.8005614904189522,0.7443981890538246,0.7249953030694442,0.42679903422042975,1.0879934509014875,1.7003513338540594e-12,1.6590120179958035e-12,1.2619370104099227e-12,2.2388503167445005e-12,13.95,14.0,14.0,14.0,0.0,0.0,0.0,0.0,0.6285714285714286,0.6428571428571429,0.5642857142857143,0.7142857142857143,6.975,7.0,7.0,7.0
13,wood_cost=6_stone_cost=6_income_per_house_per_step=0.5,20,6,6,0.5,15.63,15.25,11.6,20.58,0.7440607647494938,0.7366824603535189,0.6726808905380334,0.8005614904189522,0.7443981890538246,0.7249953030694442,0.42679903422042975,1.0879934509014875,1.7003513338540594e-12,1.6590120179958035e-12,1.2619370104099227e-12,2.2388503167445005e-12,13.95,14.0,14.0,14.0,0.0,0.0,0.0,0.0,0.6285714285714286,0.6428571428571429,0.5642857142857143,0.7142857142857143,6.975,7.0,7.0,7.0
14,wood_cost=6_stone_cost=6_income_per_house_per_step=1.0,20,6,6,1.0,15.63,15.25,11.6,20.58,0.7440607647494938,0.7366824603535189,0.6726808905380334,0.8005614904189522,0.7443981890538246,0.7249953030694442,0.42679903422042975,1.0879934509014875,1.7003513338540594e-12,1.6590120179958035e-12,1.2619370104099227e-12,2.2388503167445005e-12,13.95,14.0,14.0,14.0,0.0,0.0,0.0,0.0,0.6285714285714286,0.6428571428571429,0.5642857142857143,0.7142857142857143,6.975,7.0,7.0,7.0
15,wood_cost=6_stone_cost=12_income_per_house_per_step=0.25,20,6,12,0.25,15.63,15.25,11.6,20.58,0.7440607647494938,0.7366824603535189,0.6726808905380334,0.8005614904189522,0.7443981890538246,0.7249953030694442,0.42679903422042975,1.0879934509014875,1.7003513338540594e-12,1.6590120179958035e-12,1.2619370104099227e-12,2.2388503167445005e-12,13.95,14.0,14.0,14.0,0.0,0.0,0.0,0.0,0.6285714285714286,0.6428571428571429,0.5642857142857143,0.7142857142857143,6.975,7.0,7.0,7.0
16,wood_cost=6_stone_cost=12_income_per_house_per_step=0.5,20,6,12,0.5,15.63,15.25,11.6,20.58,0.7440607647494938,0.7366824603535189,0.6726808905380334,0.8005614904189522,0.7443981890538246,0.7249953030694442,0.42679903422042975,1.0879934509014875,1.7003513338540594e-12,1.6590120179958035e-12,1.2619370104099227e-12,2.2388503167445005e-12,13.95,14.0,14.0,14.0,0.0,0.0,0.0,0.0,0.6285714285714286,0.6428571428571429,0.5642857142857143,0.7142857142857143,6.975,7.0,7.0,7.0
17,wood_cost=6_stone_cost=12_income_per_house_per_step=1.0,20,6,12,1.0,15.63,15.25,11.6,20.58,0.7440607647494938,0.7366824603535189,0.6726808905380334,0.8005614904189522,0.7443981890538246,0.7249953030694442,0.42679903422042975,1.0879934509014875,1.7003513338540594e-12,1.6590120179958035e-12,1.2619370104099227e-12,2.2388503167445005e-12,13.95,14.0,14.0,14.0,0.0,0.0,0.0,0.0,0.6285714285714286,0.6428571428571429,0.5642857142857143,0.7142857142857143,6.975,7.0,7.0,7.0
18,wood_cost=12_stone_cost=3_income_per_house_per_step=0.25,20,12,3,0.25,19.6525,18.7,14.63,25.705,0.7106089661060929,0.717873962771922,0.6445251771266223,0.7817662779397472,1.0484455169469535,0.9812061309268012,0.6628960155490767,1.5041494057123368,0.018348729029261362,2.034329490919444e-12,1.5915636605428594e-12,2.2986481601224395e-09,13.9,14.0,13.9,14.0,0.05,0.0,0.0,0.0,0.575,0.5714285714285714,0.42857142857142855,0.6428571428571429,6.95,7.0,6.95,7.0
19,wood_cost=12_stone_cost=3_income_per_house_per_step=0.5,20,12,3,0.5,24.64,22.15,14.63,39.93000000000001,0.728479209248624,0.7229774734934102,0.6484688231484362,0.8153555861652546,1.395760395375688,1.2474473779237725,0.6628960155490767,2.4364988262307445,0.2145580763076581,2.600025392137685e-12,1.5915636605428594e-12,0.19894956784105466,13.9,14.0,13.9,14.0,0.05,0.0,0.0,0.0,0.5928571428571429,0.6071428571428572,0.5,0.6428571428571429,6.95,7.0,6.95,7.0
20,wood_cost=12_stone_cost=3_income_per_house_per_step=1.0,20,12,3,1.0,30.84,25.85,14.63,49.44,0.7459628705504298,0.7315069906619203,0.686405529953917,0.8244123931623932,1.8298757075819279,1.501221832642066,0.6628960155490767,3.1736536781480704,0.6119527296538239,3.160281909690366e-12,1.5915636605428594e-12,1.7685538789216573,13.9,14.0,13.9,14.0,0.05,0.0,0.0,0.0,0.5928571428571429,0.6428571428571429,0.42857142857142855,0.65,6.95,7.0,6.95,7.0
21,wood_cost=12_stone_cost=6_income_per_house_per_step=0.25,20,12,6,0.25,15.63,15.25,11.6,20.58,0.7440607647494938,0.7366824603535189,0.6726808905380334,0.8005614904189522,0.7443981890538246,0.7249953030694442,0.42679903422042975,1.0879934509014875,1.7003513338540594e-12,1.6590120179958035e-12,1.2619370104099227e-12,2.2388503167445005e-12,13.95,14.0,14.0,14.0,0.0,0.0,0.0,0.0,0.6285714285714286,0.6428571428571429,0.5642857142857143,0.7142857142857143,6.975,7.0,7.0,7.0
22,wood_cost=12_stone_cost=6_income_per_house_per_step=0.5,20,12,6,0.5,15.63,15.25,11.6,20.58,0.7440607647494938,0.7366824603535189,0.6726808905380334,0.8005614904189522,0.7443981890538246,0.7249953030694442,0.42679903422042975,1.0879934509014875,1.7003513338540594e-12,1.6590120179958035e-12,1.2619370104099227e-12,2.2388503167445005e-12,13.95,14.0,14.0,14.0,0.0,0.0,0.0,0.0,0.6285714285714286,0.6428571428571429,0.5642857142857143,0.7142857142857143,6.975,7.0,7.0,7.0
23,wood_cost=12_stone_cost=6_income_per_house_per_step=1.0,20,12,6,1.0,15.63,15.25,11.6,20.58,0.7440607647494938,0.7366824603535189,0.6726808905380334,0.8005614904189522,0.7443981890538246,0.7249953030694442,0.42679903422042975,1.0879934509014875,1.7003513338540594e-12,1.6590120179958035e-12,1.2619370104099227e-12,2.2388503167445005e-12,13.95,14.0,14.0,14.0,0.0,0.0,0.0,0.0,0.6285714285714286,0.6428571428571429,0.5642857142857143,0.7142857142857143,6.975,7.0,7.0,7.0
24,wood_cost=12_stone_cost=12_income_per_house_per_step=0.25,20,12,12,0.25,15.63,15.25,11.6,20.58,0.7440607647494938,0.7366824603535189,0.6726808905380334,0.8005614904189522,0.7443981890538246,0.7249953030694442,0.42679903422042975,1.0879934509014875,1.7003513338540594e-12,1.6590120179958035e-12,1.2619370104099227e-12,2.2388503167445005e-12,13.95,14.0,14.0,14.0,0.0,0.0,0.0,0.0,0.6285714285714286,0.6428571428571429,0.5642857142857143,0.7142857142857143,6.975,7.0,7.0,7.0
25,wood_cost=12_stone_cost=12_income_per_house_per_step=0.5,20,12,12,0.5,15.63,15.25,11.6,20.58,0.7440607647494938,0.7366824603535189,0.6726808905380334,0.8005614904189522,0.7443981890538246,0.7249953030694442,0.42679903422042975,1.0879934509014875,1.7003513338540594e-12,1.6590120179958035e-12,1.2619370104099227e-12,2.2388503167445005e-12,13.95,14.0,14.0,14.0,0.0,0.0,0.0,0.0,0.6285714285714286,0.6428571428571429,0.5642857142857143,0.7142857142857143,6.975,7.0,7.0,7.0
26,wood_cost=12_stone_cost=12_income_per_house_per_step=1.0,20,12,12,1.0,15.63,15.25,11.6,20.58,0.7440607647494938,0.7366824603535189,0.6726808905380334,0.8005614904189522,0.7443981890538246,0.7249953030694442,0.42679903422042975,1.0879934509014875,1.7003513338540594e-12,1.6590120179958035e-12,1.2619370104099227e-12,2.2388503167445005e-12,13.95,14.0,14.0,14.0,0.0,0.0,0.0,0.0,0.6285714285714286,0.6428571428571429,0.5642857142857143,0.7142857142857143,6.975,7.0,7.0,7.0
