seed,beta,reluctance,K,r_i,volume_share,willing_clear_frac,residual_risk,sum_Dk2,clearing_spread_pct,dealer_pnl,spot_I,spot_S0
4,0.2,1.0,1,0.04000000000000001,0.0627826362895128,0.11745981014738545,1.2135494164860194,1.5608064404858992,16.382701659093296,0.8286385120804303,2.322775875477118,3.2688448180487923
5,0.2,1.0,1,0.04000000000000001,0.06297183686965786,0.11710518721696545,1.2044142091922312,1.537396393415042,16.259377982566416,1.6593872293242504,5.4344752647896755,3.211714121284821
6,0.2,1.0,1,0.04000000000000001,0.05477739106455063,0.08862318582772527,1.1933940863046382,1.5093914298022502,16.11060828018647,1.9394849382978276,4.677496208089153,2.81462153207264
7,0.2,1.0,1,0.04000000000000001,0.06782873914634131,0.12078105822068534,1.2549942747278648,1.669235475752696,16.94219988689982,1.7042730001354802,6.637683077567331,3.4961176630032043
8,0.2,1.0,1,0.04000000000000001,0.057673382783561676,0.18223312608602318,1.1041201077761997,1.2920126183984688,14.905425420483326,0.8715350873221719,3.465174418122088,3.3407009616609686
9,0.2,1.0,1,0.04000000000000001,0.07134193788707274,0.13570881497792311,1.5604268096090324,2.580601370045785,21.065484878810505,0.802905848123433,2.9825032613817397,3.7327240237577004
10,0.2,1.0,1,0.04000000000000001,0.06806239144704859,0.17197572828662716,1.3736049411089117,1.9996675805713402,18.543422823938187,3.009888678535379,4.23237359180038,2.2632813852909095
11,0.2,1.0,1,0.04000000000000001,0.0772851251879602,0.13210072305526369,1.6179688041458773,2.7744340413745636,21.84229158858257,2.2954558894389514,3.642837709673359,3.0144439592775223
12,0.2,1.0,1,0.04000000000000001,0.0,0.0,0.0,0.0,0.0,0.0,3.1354194735378482,3.414665759665259
13,0.2,1.0,1,0.04000000000000001,0.07295421367928025,0.12861634506743266,1.4891877902522135,2.350352765073493,20.103770765850374,-1.673984199952441,2.6986805503124818,5.233073934009998
14,0.2,1.0,1,0.04000000000000001,0.07123233165753022,0.1872577651394261,1.572435034725832,2.6204720994948234,21.22759378584901,2.389862037546072,3.8296099929682366,2.931457968645573
15,0.2,1.0,1,0.04000000000000001,0.05841492564093929,0.14386963444909157,1.2086190449879337,1.5481498098517157,16.31614251924754,0.42684509948669697,3.2961758675448705,3.781345534894324
16,0.2,1.0,1,0.04000000000000001,0.07033170490848607,0.11561305390222819,1.388973988444978,2.044665844661862,18.75090223422898,3.3979358134560305,2.837044860895655,1.7438547685004893
17,0.2,1.0,1,0.04000000000000001,0.0,0.0,0.0,0.0,0.0,0.0,4.0259582960002955,3.538419614072001
18,0.2,1.0,1,0.04000000000000001,0.06188790544537188,0.11782201090811902,1.2815524219713634,1.7406316191594886,17.300730159336837,0.7143579109754459,3.465174418122088,3.6521677231378162
19,0.2,1.0,1,0.04000000000000001,0.059221988235512966,0.1143642845667939,1.1863133736391789,1.491533354082458,16.01501991637029,-0.44995254442193267,4.917316566972579,4.806221194134841
20,0.2,1.0,1,0.04000000000000001,0.06343776298478393,0.1012394683408573,1.227629546726563,1.597234866576665,16.572780917439395,0.12095257218939559,4.23237359180038,4.22516906276337
21,0.2,1.0,1,0.04000000000000001,0.06274848258047903,0.10276413404054331,1.2488508194788355,1.6529329733534273,16.859264331797114,-0.3581091003214618,3.642837709673359,4.491812942724861
22,0.2,1.0,1,0.04000000000000001,0.0541786659002035,0.1183403814583564,1.11347961156403,1.3140099549428785,15.031777059856342,0.7960764193799852,3.1354194735378487,3.3515685827840898
23,0.2,1.0,1,0.04000000000000001,0.07606264418591095,0.15545826716635844,1.5430287743791564,2.5233771532896543,20.830614492196354,1.0599377933460505,4.449372026124917,3.8502058525494443
24,0.2,1.0,1,0.04000000000000001,0.05794430776032645,0.1387040758067612,1.1723850642307876,1.4567152641961185,15.82699021230274,-1.3080423916809791,3.8296099929682366,5.297252580829227
25,0.2,1.0,1,0.04000000000000001,0.06850454571828267,0.16548441382327458,1.4527565166731247,2.2367620279976212,19.611955040838335,1.9918258917667009,3.2961758675448705,2.911166428076318
26,0.2,1.0,1,0.04000000000000001,0.05894634306758429,0.08947503582118138,1.2987103495449865,1.7875521463947335,17.532359135222244,2.2596491482974908,2.837044860895655,2.38623311246
27,0.2,1.0,1,0.04000000000000001,0.049094265098451925,0.14060008181220615,1.024584098125761,1.1125751085622846,13.831703411674699,1.0968237608927125,4.0259582960002955,3.141120855439002
28,0.2,1.0,1,0.04000000000000001,0.07588993773563801,0.1325414263867359,1.7371519770237949,3.1982303980977353,23.451243261681213,-3.2163672951377187,3.465174418122088,6.2134011066931425
29,0.2,1.0,1,0.04000000000000001,0.06048562378580608,0.0834882293170326,1.1319950381832187,1.3580731511762054,15.28173203183543,-1.1493344789490862,4.917316566972579,5.3976588254283175
30,0.2,1.0,1,0.04000000000000001,0.058995028997811574,0.09815543087913105,1.290209167330958,1.7642265911070496,17.417594684702134,-0.165406657323785,4.23237359180038,4.475797582529451
